test,average_accuracy,year
categorization,0.6881067961165048,1920
categorization,0.6699029126213593,1800
categorization,0.6929611650485437,1930
categorization,0.6929611650485437,1810
categorization,0.6735436893203883,1940
categorization,0.712378640776699,1820
categorization,0.691747572815534,1950
categorization,0.7099514563106796,1830
categorization,0.683252427184466,1960
categorization,0.712378640776699,1840
categorization,0.6480582524271845,1970
categorization,0.712378640776699,1850
categorization,0.662621359223301,1980
categorization,0.7135922330097088,1860
categorization,0.6468446601941747,1990
categorization,0.7026699029126213,1870
categorization,0.7026699029126213,1880
categorization,0.7111650485436893,1890
categorization,0.712378640776699,1900
categorization,0.6941747572815534,1910
polarity,0.9077669902912622,1920
polarity,0.9065533980582524,1800
polarity,0.9114077669902912,1930
polarity,0.9016990291262136,1810
polarity,0.8992718446601942,1940
polarity,0.904126213592233,1820
polarity,0.9101941747572816,1950
polarity,0.9016990291262136,1830
polarity,0.9114077669902912,1960
polarity,0.912621359223301,1840
polarity,0.9029126213592233,1970
polarity,0.9101941747572816,1850
polarity,0.8859223300970874,1980
polarity,0.9150485436893204,1860
polarity,0.8895631067961165,1990
polarity,0.9162621359223301,1870
polarity,0.9174757281553398,1880
polarity,0.9089805825242718,1890
polarity,0.9174757281553398,1900
polarity,0.9162621359223301,1910
null_test,0.808252427184466,1920
null_test,0.7942961165048543,1800
null_test,0.8015776699029126,1930
null_test,0.7961165048543689,1810
null_test,0.808252427184466,1940
null_test,0.8027912621359223,1820
null_test,0.8100728155339806,1950
null_test,0.8106796116504854,1830
null_test,0.8161407766990292,1960
null_test,0.7967233009708737,1840
null_test,0.8033980582524272,1970
null_test,0.8118932038834952,1850
null_test,0.8046116504854369,1980
null_test,0.8143203883495146,1860
null_test,0.8137135922330098,1990
null_test,0.808252427184466,1870
null_test,0.8106796116504854,1880
null_test,0.8185679611650486,1890
null_test,0.8125,1900
null_test,0.8125,1910
